StnID,dpt_wmo_id,distance_km,elevation_diff_m,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range,PCT_POR_Good,Num_Year_Overlap,Num_Valid_Years,PCT_Good_Overlap_1h,Num_Year_Overlap_1h,PCT_Good_Overlap_24h,Num_Year_Overlap_24h,KG
USC00453515,727855-24114,48.03773693442044,91.89999999999998,47.4829,-118.2519,658.1,WA,HARRINGTON,-8,19611128-20230929, 90.9%,63.0,63.0,99.8,63.0,100.0,63.0,BSk
USC00472447,726463-14897,20.1325396975732,9.399999999999975,44.7722,-89.7675,356.6,WI,EAU PLEINE RESERVOIR,-6,19540408-20240310, 89.4%,63.0,63.0,88.3,64.0,89.6,63.0,Dfb
USC00012377,722269-03850,29.576104462289933,4.099999999999994,31.2833,-85.4,95.1,AL,DOTHAN 4 NW,-6,19520401-20240401, 84.4%,63.0,63.0,86.5,64.0,87.4,63.0,Cfa
USC00380613,723120-03870,38.955364316872384,92.8,34.6015,-82.4332,201.2,SC,BELTON 7 NNE,-5,19580601-20240402, 94.1%,63.0,63.0,94.0,63.0,92.8,63.0,Cfa
USC00357823,726940-24232,21.32979085537477,61.400000000000006,45.0058,-122.7739,124.4,OR,SILVERTON,-8,19620828-20240402, 93.6%,63.0,63.0,100.0,63.0,99.9,63.0,Csb
USC00042012,747020-23110,41.95375992183396,9.0,36.0975,-119.5817,61.0,CA,CORCORAN IRRIGATION DIST.,-8,19560119-20240325, 86.7%,63.0,63.0,90.6,63.0,92.5,62.0,BSk
USC00255112,725510-14939,47.34400372228168,28.0,41.2629,-96.6945,384.0,NE,MALMO 1 E,-6,19501101-20240301, 91.5%,63.0,63.0,83.5,63.0,89.3,63.0,Dfa
USC00471416,726410-14837,14.582763732730603,57.80000000000001,43.0596,-89.4819,318.8,WI,CHARMANY FARM,-6,19630718-20240401, 91.5%,62.0,62.0,100.0,62.0,100.0,62.0,Dfa
USC00125407,724380-93819,38.09496202776819,60.6,39.4043,-86.4526,180.4,IN,MARTINSVILLE 2 SW,-5,19620618-20240401, 83.6%,62.0,62.0,100.0,62.0,100.0,62.0,Dfa
USC00213202,726580-14922,18.11838022326433,18.80000000000001,44.9907,-93.3989,272.8,MN,GOLDEN VALLEY,-6,19630421-20240401, 88.7%,62.0,62.0,100.0,62.0,100.0,62.0,Dfa
USC00046624,723810-23114,40.713850951639,92.10000000000002,34.5883,-118.0938,796.1,CA,PALMDALE,-8,19630213-20240403, 95.3%,62.0,62.0,99.4,62.0,99.5,54.0,BSk
USC00472973,726436-94930,34.712357589863934,10.0,43.975,-89.8309,288.0,WI,FRIENDSHIP,-6,19480801-20240401, 88.9%,62.0,62.0,71.1,62.0,74.3,62.0,Dfa
USC00055765,724695-23036,39.2861903931832,54.0,39.6527,-105.203,1780.0,CO,MORRISON 1 SW,-7,19580101-20240402, 94.3%,62.0,62.0,92.9,62.0,93.5,62.0,Dfb
USC00474404,726436-94930,49.64932236437495,34.5,43.5734,-90.632,243.5,WI,LA FARGE,-6,19480801-20240401, 87.6%,62.0,62.0,74.2,62.0,79.3,61.0,Dfa
USC00478515,726436-94930,17.265068422376434,18.30000000000001,43.9713,-90.4679,296.3,WI,TOMAH RANGER STATION 2,-6,19480801-20240404, 86.6%,61.0,61.0,70.2,61.0,75.2,60.0,Dfa
USC00044712,745160-23202,26.589391259912222,39.0,38.492,-122.0039,57.0,CA,LAKE SOLANO,-8,19621001-20240401, 93.4%,61.0,61.0,97.0,61.0,97.4,60.0,Csa
