StnID,dpt_wmo_id,distance_km,elevation_diff_m,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range_P,PCT_POR_Good_P,Num_Years_P,PCT_Good_Overlap_1h,Num_Year_Overlap,PCT_Good_Overlap_24h,KG
USC00367186,725130-14777,43.40504526205509,85.89999999999998,41.589,-75.3303,374.9,PA,PROMPTON DAM,-5,19660501-20240402,78.5,58,80.8,23,84.0,26
USC00312631,723170-13723,46.21636784957551,68.30000000000001,36.4742,-79.7433,206.7,NC,EDEN,-5,19691001-20240401,80.2,55,92.0,23,94.6,14
USC00447338,724110-13741,37.61375979270039,54.80000000000001,36.9769,-79.8961,400.8,VA,ROCKY MOUNT,-5,19691009-20240401,75.9,55,88.4,23,90.4,14
USC00111290,724338-13802,43.13976019139034,13.699999999999989,38.6249,-89.363,152.7,IL,CARLYLE RESERVOIR,-6,19700701-20240405,78.6,54,88.2,23,88.4,25
USC00203947,726370-14826,38.7901033098465,55.89999999999998,42.6333,-83.9167,289.9,MI,HOWELL SEWAGE PLANT,-5,19610410-20240411,91.5,63,86.9,23,90.1,25
USC00127999,724380-93819,46.96845120698676,11.800000000000011,39.5282,-85.7914,229.2,IN,SHELBYVILLE SEWAGE PLANT,-5,19710101-20240401,83.7,53,97.4,23,99.1,25
USC00401663,746710-13806,44.191107044802116,54.5,36.3211,-87.2218,119.5,TN,CHEATHAM LOCK & DAM,-6,19710306-20240404,76.4,53,84.3,23,86.9,14
USC00311881,723066-13713,45.28605137912897,15.200000000000003,35.0251,-78.276,48.2,NC,CLINTON 2 NE,-5,19710201-20240415,81.0,53,81.0,23,81.7,14
USC00361139,725200-94823,47.21784603206366,36.19999999999999,40.8415,-79.9163,304.8,PA,BUTLER 2 SW,-5,19670627-20200820,71.6,53,92.3,23,92.8,25
USC00120830,725330-14827,17.728648524087014,19.399999999999977,40.8143,-85.1546,262.4,IN,BLUFFTON 6N,-5,19710701-20240202,89.3,53,96.5,23,97.4,25
USC00252020,725510-14939,27.34426989254367,89.0,40.6092,-96.872,445.0,NE,CRETE 4ESE,-6,19720701-20240303,86.0,52,91.7,23,93.3,25
USC00313017,723030-13714,17.80492136289345,36.7,35.0591,-78.8588,29.3,NC,FAYETTEVILLE (PWC),-5,19720701-20240417,89.0,52,80.7,23,85.0,14
USC00012675,722269-03850,17.59377188200457,11.700000000000003,31.297,-85.89,102.7,AL,ENTERPRISE 4 W,-6,19710401-20240402,81.3,53,77.5,23,80.8,14
USC00058429,724645-23070,16.582762649597147,88.90000000000009,37.1787,-104.487,1837.9,CO,TRINIDAD,-7,19730501-20240401,92.4,51,75.5,23,80.6,7
USC00086842,747750-13846,22.4062128198097,3.5,30.2491,-85.6605,1.5,FL,PANAMA CITY 5N,-6,19711201-20240102,87.8,53,81.6,23,81.2,14
USC00394766,726530-99999,31.766970916375413,85.60000000000002,44.0643,-99.4606,444.4,SD,LAKE SHARPE PROJECT,-6,19740501-20240401,88.8,50,74.4,23,86.6,7
USC00334403,724285-13812,29.512690981265383,26.099999999999994,39.7156,-82.6073,252.1,OH,LANCASTER,-5,19651210-20240401,85.1,59,81.9,23,82.0,25
USC00044712,745160-23202,26.589391259912222,39.0,38.492,-122.0039,57.0,CA,LAKE SOLANO,-8,19621001-20240401,93.4,62,85.1,23,85.8,8
USC00167738,722485-13944,8.92624666585441,2.799999999999997,32.4219,-93.638,47.2,LA,RED RIVER RESEARCH STATION,-6,19751101-20240301,86.2,49,81.1,23,79.2,14
USC00470308,726410-14837,18.263256768834555,59.60000000000002,43.3042,-89.3453,320.6,WI,ARLINGTON,-6,19750605-20240402,77.0,49,99.6,23,99.6,25
USC00046730,723965-93209,6.923262439980559,26.5,35.6277,-120.6855,222.5,CA,PASO ROBLES,-8,19760913-20240401,94.2,48,71.0,23,74.4,8
USW00003952,723405-03930,12.998603854951659,77.6,34.8353,-92.2596,171.6,AR,NORTH LITTLE ROCK WFO,-6,19760101-20240301,97.9,48,82.2,23,83.0,14
USC00404561,723346-03811,6.783126114482419,16.5,35.6213,-88.8456,112.5,TN,JACKSON EXP STA,-6,19771207-20240401,91.1,47,74.4,23,80.4,14
USC00208443,726370-14826,47.09533021272651,42.0,43.3656,-83.5828,192.0,MI,VASSAR,-5,19770701-20240411,83.9,47,92.7,23,94.6,25
USC00124837,725350-14848,36.22741954942063,11.599999999999994,41.6116,-86.7297,246.6,IN,LAPORTE,-6,19780401-20240407,81.7,46,96.8,23,95.5,25
USC00326105,727535-14919,25.271544922892346,26.80000000000001,46.7005,-98.5839,428.2,ND,MONTPELIER,-6,19780417-20240404,93.4,46,70.8,23,84.1,22
USC00411429,722536-12911,37.28976900986471,83.80000000000001,29.8607,-98.1959,304.8,TX,CANYON DAM,-6,19780801-20240410,86.7,46,79.3,23,80.3,14
USC00205567,726360-14840,35.74388474321742,8.099999999999994,43.461,-86.4177,198.1,MI,MONTAGUE 4 NW,-5,19780614-20240404,88.1,46,95.6,23,94.7,26
USC00247894,727730-24153,45.178563015816444,55.700000000000045,46.5137,-114.091,1028.7,MT,STEVENSVILLE,-7,19780914-20240404,84.6,46,97.3,23,97.2,7
USC00134101,725450-14990,34.984472198855904,60.900000000000006,41.6093,-91.5051,195.1,IA,IOWA CITY,-6,19790901-20240403,89.1,45,79.8,23,85.2,25
USC00029158,723723-23184,47.883814344611665,24.40000000000009,34.9281,-112.8097,1551.4,AZ,WALNUT CREEK,-7,19790720-20240301,84.5,45,93.3,23,93.6,7
USC00314970,723170-13723,39.58235757015042,43.400000000000006,35.8457,-80.2599,231.6,NC,LEXINGTON,-5,19791201-20240411,83.5,45,99.6,23,99.8,14
USC00030832,723440-13964,48.03341474683891,35.900000000000006,35.0971,-93.9147,171.9,AR,BOONEVILLE 3 SSE,-6,19780406-20230927,88.3,45,85.0,23,86.0,14
USC00118020,724350-03816,32.63453907837179,15.200000000000003,37.1644,-88.4311,108.8,IL,SMITHLAND LOCK & DAM,-6,19801001-20240304,86.9,44,92.0,23,93.7,14
USC00236357,724490-13993,31.774391084936163,76.5,39.9807,-95.1465,322.5,MO,OREGON,-6,19790701-20221020,50.8,43,70.9,23,74.9,25
USC00226718,747686-13820,41.45938715477675,6.3,30.3961,-88.478,3.7,MS,PASCAGOULA 3 NE,-6,19730412-20160502,71.3,43,73.0,23,71.8,14
USC00152775,724210-93814,47.596836300230464,12.400000000000006,38.6873,-84.3585,249.6,KY,FALMOUTH,-5,19750201-20240401,48.8,49,98.9,23,99.6,25
